epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
61,9949,,116.48147583007812,,,,,
61,9981,,,282.4844055175781,44986284.0,712.1737670898438,0.5713268518447876,170.71728515625
61,9981,114.87195587158203,,,,,,
62,9999,,99.20661163330078,,,,,
62,10049,,115.74606323242188,,,,,
62,10099,,112.26548767089844,,,,,
62,10142,,,306.9490051269531,44656812.0,768.87939453125,0.5750809907913208,176.20285034179688
62,10142,113.79508972167969,,,,,,
63,10149,,100.92731475830078,,,,,
63,10199,,77.27413940429688,,,,,
63,10249,,106.5044937133789,,,,,
63,10299,,106.28479766845703,,,,,
63,10303,,,281.06561279296875,36882716.0,707.4986572265625,0.5692386627197266,158.99215698242188
63,10303,114.7635726928711,,,,,,
64,10349,,118.15741729736328,,,,,
64,10399,,105.00878143310547,,,,,
64,10449,,103.65963745117188,,,,,
64,10464,,,308.5384216308594,40559472.0,791.7714233398438,0.5844906568527222,172.2822723388672
64,10464,116.94054412841797,,,,,,
65,10499,,140.02001953125,,,,,
65,10549,,154.7177276611328,,,,,
65,10599,,108.30379486083984,,,,,
65,10625,,,318.9418029785156,24149444.0,796.835205078125,0.6067427396774292,175.59243774414062
65,10625,118.73297882080078,,,,,,
66,10649,,83.74141693115234,,,,,
66,10699,,131.77676391601562,,,,,
66,10749,,100.31798553466797,,,,,
66,10786,,,293.4523620605469,34462384.0,742.8933715820312,0.5764251947402954,166.38186645507812
66,10786,117.89000701904297,,,,,,
67,10799,,102.54386138916016,,,,,
67,10849,,106.86678314208984,,,,,
67,10899,,131.84201049804688,,,,,
67,10947,,,291.4432067871094,36447960.0,742.567626953125,0.572385311126709,166.27276611328125
67,10947,117.0198745727539,,,,,,
68,10949,,137.47390747070312,,,,,
68,10999,,146.96571350097656,,,,,
68,11049,,142.09727478027344,,,,,
68,11099,,124.89198303222656,,,,,
68,11108,,,293.5686340332031,29536042.0,733.809814453125,0.588588535785675,163.1059112548828
68,11108,117.3400650024414,,,,,,
69,11149,,118.21279907226562,,,,,
69,11199,,111.34494018554688,,,,,
69,11249,,147.49644470214844,,,,,
69,11269,,,341.3409423828125,49350104.0,835.1187744140625,0.6185896992683411,182.03244018554688
69,11269,118.34109497070312,,,,,,
70,11299,,129.5169219970703,,,,,
70,11349,,121.3365249633789,,,,,
70,11399,,115.274658203125,,,,,
